Rank,Song,Artist,Streams,Days,Country,Change,Streams_Int
677,Let Down,Radiohead,"62,706",161.0,CA,+26,62706
678,Folded,Kehlani,"62,573",106.0,CA,+21,62573
679,No One Noticed,The Marías,"62,536",369.0,CA,+23,62536
680,Stick Season,Noah Kahan,"62,445",953.0,CA,+7,62445
681,Ruin The Friendship,Taylor Swift,"62,024",39.0,CA,-1,62024
682,Mystical Magical,Benson Boone,"61,848",200.0,CA,-13,61848
683,Nice To Each Other,Olivia Dean,"61,836",74.0,CA,+15,61836
684,Pink Skies,Zach Bryan,"61,725",535.0,CA,+1,61725
685,The Color Violet,Tory Lanez,"61,272",1091.0,CA,+26,61272
686,Dont Stop Believin,Journey,"60,105",656.0,CA,+15,60105
687,Thats So True,Gracie Abrams,"60,063",389.0,CA,+1,60063
688,Feel Good Inc,Gorillaz,"60,048",236.0,CA,+7,60048
689,Eldest Daughter,Taylor Swift,"59,866",39.0,CA,0,59866
690,Espresso,Sabrina Carpenter,"59,622",578.0,CA,+7,59622
691,Sienna,The Marías,"59,544",72.0,CA,+32,59544
692,Too Sweet,Hozier,"58,751",598.0,CA,+1,58751
693,Werent For The Wind,Ella Langley,"58,396",221.0,CA,+16,58396
694,Sugar On My Tongue,"Tyler, The Creator","58,249",113.0,CA,-11,58249
695,Apt,Rosé,"57,944",389.0,CA,-20,57944
696,You Should Probably Leave,Chris Stapleton,"57,634",910.0,CA,+12,57634
697,Past Wont Leave My Bed,Joji,"57,248",4.0,CA,+17,57248
698,Just In Case,Morgan Wallen,"56,792",235.0,CA,+20,56792
699,505,Arctic Monkeys,"56,503",930.0,CA,+25,56503
700,Indigo,Sam Barber,"56,491",336.0,CA,+15,56491
