Rank,Song,Artist,Streams,Days,Country,Change,Streams_Int
375,Zieh Zieh,Aymo,"148,866",4.0,DE,+5,148866
376,Pink Pony Club,Chappell Roan,"148,822",506.0,GB,-4,148822
377,Let Down,Radiohead,"147,530",188.0,GB,+6,147530
378,Conan X Xenia,Haftbefehl,"147,302",68.0,DE,+6,147302
379,Beautiful Things,Benson Boone,"146,069",662.0,GB,-9,146069
380,Fu  Uf,Skye Newman,"145,768",18.0,GB,+16,145768
381,All I Want For Christmas Is You,Mariah Carey,"145,709",568.0,CA,-3,145709
382,Dreams,Fleetwood Mac,"145,240",2000.0,GB,-3,145240
383,Feel Good Inc,Gorillaz,"144,210",647.0,GB,+1,144210
384,Undressed,Sombr,"144,119",234.0,AU,+1,144119
385,Ive Seen It,Olivia Dean,"143,213",46.0,GB,+10,143213
386,1999 Pt I,Haftbefehl,"142,580",27.0,DE,+6,142580
387,Tennis,Lily Allen,"141,883",18.0,GB,+10,141883
388,Talk Of The Town,Fred Again..,"140,586",7.0,GB,+69,140586
389,Elizabeth Taylor,Taylor Swift,"138,300",39.0,GB,-1,138300
390,Tit For Tat,Tate Mcrae,"138,110",46.0,GB,+12,138110
391,Wgft,Gunna,"138,064",91.0,GB,+7,138064
392,Tau Mich Auf,Zartmann,"137,588",284.0,DE,-1,137588
393,Verliebt In Mich,Fayan,"135,894",74.0,DE,+6,135894
394,No Broke Boys,Disco Lines,"134,571",155.0,CA,+4,134571
395,Iris,The Goo Goo Dolls,"134,495",1742.0,AU,+2,134495
396,Rede,Zah1De,"134,467",4.0,DE,-5,134467
397,Dive,Olivia Dean,"134,341",167.0,GB,-2,134341
398,The Chain,Fleetwood Mac,"132,011",1829.0,GB,+7,132011
399,All I Want For Christmas Is You,Mariah Carey,"131,922",588.0,GB,-27,131922
400,All I Want For Christmas Is You,Mariah Carey,"131,810",515.0,DE,-17,131810
401,Back To Friends,Sombr,"131,486",240.0,CA,+5,131486
402,Birds Of A Feather,Billie Eilish,"130,989",543.0,GB,-3,130989
403,Daisies,Justin Bieber,"130,590",123.0,AU,0,130590
404,Last Christmas,Wham!,"130,168",512.0,CA,-5,130168
405,What It Sounds Like,Huntr/X,"130,151",139.0,GB,-22,130151
406,Your Idol,Saja Boys,"129,334",140.0,GB,-27,129334
407,Another Love,Tom Odell,"128,906",1718.0,DE,-6,128906
408,Soda Pop,Saja Boys,"128,457",141.0,AU,-3,128457
409,To The Sky,Luciano,"128,439",11.0,DE,+7,128439
410,Last Christmas,Wham!,"128,310",586.0,GB,-20,128310
411,West End Girl,Lily Allen,"128,308",18.0,GB,+5,128308
412,Lose Control,Teddy Swims,"128,167",718.0,GB,-7,128167
413,Waterfalls,James Hype,"127,977",57.0,DE,+15,127977
414,Lady Lady,Olivia Dean,"126,745",93.0,GB,+2,126745
